0808 > 1137|	Deoxys 1 - 808
0809 > 1138|	Deoxys 2 - 809
0810 > 1139|	Deoxys 3 - 810
0811 > 1141|	Wormadam 1 - 811
0812 > 1142|	Wormadam 2 - 812
0813 > 1164|	Shaymin 1 - 813
0814 > 1162|	Giratina 1 - 814
0815 > 1154|	Rotom 1 - 815
0816 > 1155|	Rotom 2 - 816
0817 > 1156|	Rotom 3 - 817
0818 > 1157|	Rotom 4 - 818
0819 > 1158|	Rotom 5 - 819
0820 > 1122|	Castform 1 - 820
0821 > 1123|	Castform 2 - 821
0822 > 1124|	Castform 3 - 822
0823 > 1143|	Cherrim 1 - 823
0824 > 1144|	Shellos 1 - 824
0825 > 1145|	Gastrodon 1 - 825
0826 > 1171|	Basculin 1 - 826
0827 > 1174|	Darmanitan 1 - 827
0828 > 1192|	Meloetta 1 - 828
0829 > 1189|	Kyurem 1 - 829
0830 > 1190|	Kyurem 2 - 830
0831 > 1191|	Keldeo 1 - 831
0832 > 1186|	Tornadus 1 - 832
0833 > 1187|	Thundurus 1 - 833
0834 > 1188|	Landorus 1 - 834
0835 > 1071|	Gengar 1 - 835
0836 > 1214|	Meowstic 1 - 836
0837 > 1205|	Furfrou 1 - 837
0838 > 1206|	Furfrou 2 - 838
0839 > 1207|	Furfrou 3 - 839
0840 > 1208|	Furfrou 4 - 840
0841 > 1209|	Furfrou 5 - 841
0842 > 1210|	Furfrou 6 - 842
0843 > 1211|	Furfrou 7 - 843
0844 > 1212|	Furfrou 8 - 844
0845 > 1213|	Furfrou 9 - 845
0846 > 1113|	Gardevoir 1 - 846
0847 > 1096|	Ampharos 1 - 847
0848 > 1026|	Venusaur 1 - 848
0849 > 1027|	Charizard 1 - 849
0850 > 1028|	Charizard 2 - 850
0851 > 1091|	Mewtwo 1 - 851
0852 > 1092|	Mewtwo 2 - 852
0853 > 1109|	Blaziken 1 - 853
0854 > 1117|	Medicham 1 - 854
0855 > 1106|	Houndoom 1 - 855
0856 > 1116|	Aggron 1 - 856
0857 > 1125|	Banette 1 - 857
0858 > 1107|	Tyranitar 1 - 858
0859 > 1101|	Scizor 1 - 859
0860 > 1081|	Pinsir 1 - 860
0861 > 1086|	Aerodactyl 1 - 861
0862 > 1149|	Lucario 1 - 862
0863 > 1151|	Abomasnow 1 - 863
0864 > 1217|	Aegislash 1 - 864
0865 > 1029|	Blastoise 1 - 865
0866 > 1078|	Kangaskhan 1 - 866
0867 > 1085|	Gyarados 1 - 867
0868 > 1127|	Absol 1 - 868
0869 > 1058|	Alakazam 1 - 869
0870 > 1102|	Heracross 1 - 870
0871 > 1115|	Mawile 1 - 871
0872 > 1118|	Manectric 1 - 872
0873 > 1147|	Garchomp 1 - 873
0874 > 1133|	Latios 1 - 874
0875 > 1132|	Latias 1 - 875
0876 > 1224|	Pumpkaboo 1 - 876
0877 > 1225|	Pumpkaboo 2 - 877
0878 > 1226|	Pumpkaboo 3 - 878
0879 > 1227|	Gourgeist 1 - 879
0880 > 1228|	Gourgeist 2 - 880
0881 > 1229|	Gourgeist 3 - 881
0882 > 1199|	Floette 1 - 882
0883 > 1200|	Floette 2 - 883
0884 > 1201|	Floette 3 - 884
0885 > 1202|	Floette 4 - 885
0886 > 1203|	Floette 5 - 886
0887 > 1110|	Swampert 1 - 887
0888 > 1108|	Sceptile 1 - 888
0889 > 1114|	Sableye 1 - 889
0890 > 1121|	Altaria 1 - 890
0891 > 1152|	Gallade 1 - 891
0892 > 1168|	Audino 1 - 892
0893 > 1119|	Sharpedo 1 - 893
0894 > 1066|	Slowbro 1 - 894
0895 > 1099|	Steelix 1 - 895
0896 > 1031|	Pidgeot 1 - 896
0897 > 1129|	Glalie 1 - 897
0898 > 1236|	Diancie 1 - 898
0899 > 1131|	Metagross 1 - 899
0900 > 1134|	Kyogre 1 - 900
0901 > 1135|	Groudon 1 - 901
0902 > 1136|	Rayquaza 1 - 902
